YEAR,TARGET_YEAR,OCC_CODE,OCC_TITLE,SOURCE_FILE,OCC_MAJOR,OCC_MINOR,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,LOG_TOT_EMP,LOG_A_MEAN,EMPLOYMENT_SHARE,NEXT_TOT_EMP,NEXT_A_MEAN,TARGET_LOG_TOT_EMP,TARGET_LOG_A_MEAN,DATA_SPLIT
2010,2011,11-1011,Chief Executives,converted_csv/oesm10nat/national_M2010_dl__national_dl.csv,11,11-10,273500,0.5,173350,0.3,75160,107990,165080,,,12.519060557144618,12.06307371977262,0.002151897021145083,267370,176550,12.496392486010997,12.081365065458305,train_through_2022
2011,2012,11-1011,Chief Executives,oesm11nat/national_M2011_dl.csv,11,11-10,267370,0.5,176550,0.4,75860,109320,166910,,,12.496392486010997,12.081365065458305,0.002084289096986056,255940,176840,12.452702228149695,12.083006302753414,train_through_2022
2012,2013,11-1011,Chief Executives,converted_csv/oesm12nat/national_M2012_dl__national_dl.csv,11,11-10,255940,0.6,176840,0.3,76220,109940,168140,,,12.452702228149695,12.083006302753414,0.0019644206079802726,248760,178400,12.424247875148643,12.091789104493502,train_through_2022
2013,2014,11-1011,Chief Executives,converted_csv/oesm13nat/national_M2013_dl__national_dl.csv,11,11-10,248760,0.6,178400,0.3,75030,110610,171610,,,12.424247875148643,12.091789104493502,0.001876175154933784,246240,180700,12.414066010143083,12.104599010599317,train_through_2022
2014,2015,11-1011,Chief Executives,converted_csv/oesm14nat/national_M2014_dl__national_dl.csv,11,11-10,246240,0.8,180700,0.4,72750,110760,173320,,,12.414066010143083,12.104599010599317,0.0018222703280012587,238940,185850,12.383971938513541,12.13270055639427,train_through_2022
2015,2016,11-1011,Chief Executives,converted_csv/oesm15nat/national_M2015_dl__national_dl.csv,11,11-10,238940,0.7,185850,0.4,68600,111040,175110,,,12.383971938513541,12.13270055639427,0.0017327464495340678,223260,194350,12.316096769641376,12.177421081623448,train_through_2022
2016,2017,11-1011,Chief Executives,converted_csv/oesm16nat/national_M2016_dl__national_dl.csv,11,11-10,223260,0.7,194350,0.4,69780,114100,181210,,,12.316096769641376,12.177421081623448,0.0015901715064713343,210160,196050,12.255629182627507,12.186130108447076,train_through_2022
2017,2018,11-1011,Chief Executives,converted_csv/oesm17nat/national_M2017_dl__national_dl.csv,11,11-10,210160,0.7,196050,0.4,68110,113470,183270,,,12.255629182627507,12.186130108447076,0.0014742990310005464,195530,200140,12.183474213611953,12.206777397134413,train_through_2022
2018,2019,11-1011,Chief Executives,converted_csv/oesm18nat/national_M2018_dl__national_dl.csv,11,11-10,195530,0.7,200140,0.5,68360,115960,189600,,,12.183474213611953,12.206777397134413,0.0013509870227031873,205890,193850,12.235102181521452,12.174845101713574,train_through_2022
2019,2020,11-1011,Chief Executives,converted_csv/oesm19nat/national_M2019_dl__national_M2019_dl.csv,11,11-10,205890,0.8,193850,0.4,62290,112790,184460,,,12.235102181521452,12.174845101713574,0.0014018188580960196,202360,197840,12.217808510081744,12.195218956772091,train_through_2022
2020,2021,11-1011,Chief Executives,converted_csv/oesm20nat/national_M2020_dl__national_M2020_dl.csv,11,11-10,202360,1.0,197840,0.5,62780,114530,185950,,,12.217808510081744,12.195218956772091,0.0014548143059232351,200480,213020,12.208474758146187,12.26914603138103,train_through_2022
2021,2022,11-1011,Chief Executives,converted_csv/oesm21nat/national_M2021_dl__national_M2021_dl.csv,11,11-10,200480,1.6,213020,0.8,60300,111080,179520,,,12.208474758146187,12.26914603138103,0.00142299882095803,199240,246440,12.2022704262471,12.414877892903101,train_through_2022
2022,2023,11-1011,Chief Executives,converted_csv/oesm22nat/national_M2022_dl__national_M2022_dl.csv,11,11-10,199240,0.9,246440,1.6,74920,122480,189520,,,12.2022704262471,12.414877892903101,0.001347265262492227,211230,258900,12.260707600346098,12.464201028227341,holdout_2023_2024
